53813273,740001378,5381300,312,,,LONDON SQUARE,DR,,CLIFTON PARK,NY,12065,12065-3748
53815179,706504731,5381500,2,,,GLENBROOK,DR,,CLIFTON PARK,NY,12065,12065-1907
53816112,352295966,5381600,30,,,GREEN MEADOW,DR,,CLIFTON PARK,NY,12065,12065-1834
53818107,5381810,5381800,10,,,BRADBURY,ST,,CLIFTON PARK,NY,12065,12065-1648
53821319,662549399,5382100,6,,,CASTLE,PNES,,CLIFTON PARK,NY,12065,12065-2128
53685019,349887810,5368510,5,,,CARRINGTON,CT,,CLIFTON PARK,NY,12065,12065-7733
53807104,5380710,5380700,24,,,BEECHWOOD,DR,,CLIFTON PARK,NY,12065,12065-4828
53808101,5380810,5380800,2,,,BLUE SPRUCE,LN,,BALLSTON LAKE,NY,12019,12019-1316
53809108,5380910,5380900,7,,,SEVILLA,DR,,CLIFTON PARK,NY,12065,12065-5020
53810110,474400610,5381000,1,,,GARDEN,DR,,CLIFTON PARK,NY,12065,12065-4017
53811117,188351106,5381100,283,,,RIVERVIEW,RD,,REXFORD,NY,12148,12148-1642
53812105,5381210,5381200,26,,,REED,LN,,CLIFTON PARK,NY,12065,12065-1829
56433142,685519063,5643300,1067,,,BALLSTON LAKE,RD,,BALLSTON LAKE,NY,12019,12019-2329
57021039,826241510,5702100,17,,,TEMPLE,HLS,,CLIFTON PARK,NY,12065,12065-2426
57132019,174725726,5713200,51,,,STERLING HEIGHTS,DR,,CLIFTON PARK,NY,12065,12065-3715
59032049,858649431,5903210,59,,,MICHELLE,DR,,CLIFTON PARK,NY,12065,12065-1671
59047022,33378610,5904710,18,,,OAKHURST,CT,,CLIFTON PARK,NY,12065,12065-8719
55034010,720364010,5503400,33,,,DORSMAN,DR,,CLIFTON PARK,NY,12065,12065-7203
68810104,6881010,6881000,8,,,APPLETON,RD,,REXFORD,NY,12148,12148-1308
71155050,959119341,7115500,6,,,DENNIS,DR,,CLIFTON PARK,NY,12065,12065-6031
69011105,6901110,6901100,68,,,IRENE,DR,,CLIFTON PARK,NY,12065,12065-7435
69012102,6901210,6901200,13,,,ACORN,AVE,,CLIFTON PARK,NY,12065,12065-5117
69013136,977143610,6901300,25,,,WILLARD,DR,,CLIFTON PARK,NY,12065,12065-6726
69014106,6901410,6901400,46,,,GRANT HILL,CT,,CLIFTON PARK,NY,12065,12065-7717
69015194,299313954,6901500,3013,,,FOXWOOD,DR,S,CLIFTON PARK,NY,12065,12065-7016
69016146,346901758,6901600,12,,,BRENDEN,CT,,CLIFTON PARK,NY,12065,12065-7628
69018202,6901820,6901800,52,,,JAMISON,DR,,CLIFTON PARK,NY,12065,12065-7250
73044032,876021843,7304400,5,,,DAWSON,LN,,CLIFTON PARK,NY,12065,12065-1850
73148026,503259110,7314800,5,,,BRIGHTON,DR,,CLIFTON PARK,NY,12065,12065-6831
73807100,7380710,7380700,26,,,BEECHWOOD,DR,,CLIFTON PARK,NY,12065,12065-4828
73808107,7380810,7380800,4,,,BLUE SPRUCE,LN,,BALLSTON LAKE,NY,12019,12019-1316
73809140,852337101,7380900,5,,,SEVILLA,DR,,CLIFTON PARK,NY,12065,12065-5020
